mode,tick_id,tick_latency_s,mean_zone_latency_s,max_zone_latency_s,max_mean_latency_ratio,completed_before_finalize,fallback_count,policy_reason
async,0,7.74979250800061,2.7922000299440697e-05,2.7922000299440697e-05,1.0,0,5,timeout
async,1,0.3806540820005466,0.0,0.0,0.0,0,6,timeout
async,2,0.27712522900037584,2.2184000044944696e-05,2.2819999685452785e-05,1.0286692949521978,2,4,timeout
async,3,0.27264868799920805,0.0,0.0,0.0,0,6,timeout
async,4,0.29539446199942176,2.5588000426068902e-05,2.5588000426068902e-05,1.0,0,5,timeout
async,5,0.30486520099930203,2.3255000087374356e-05,2.3255000087374356e-05,1.0,1,5,timeout
async,6,0.27608863200021005,2.5508500129944878e-05,2.6188999981968664e-05,1.0266773761121664,2,4,timeout
async,7,0.32710186399981467,2.2592000277654734e-05,2.2592000277654734e-05,1.0,0,5,timeout
async,8,0.3325029170000562,2.523800018631543e-05,2.686200059542898e-05,1.064347428366932,2,3,timeout
async,9,0.3414082059998691,0.0,0.0,0.0,0,6,timeout
async,10,0.5200524880001467,2.6751000405056402e-05,2.6751000405056402e-05,1.0,0,5,timeout
async,11,0.43943655000020954,0.0,0.0,0.0,0,6,timeout
async,12,0.29651670699968236,2.4475999452988617e-05,2.4475999452988617e-05,1.0,0,5,timeout
async,13,0.3450703460002842,0.0,0.0,0.0,0,6,timeout
async,14,0.4480544619991633,0.0,0.0,0.0,0,6,timeout
async,15,0.3018345780001255,3.196600027877139e-05,3.196600027877139e-05,1.0,1,5,timeout
async,16,0.48290535700016335,2.7347000013833167e-05,2.897099966503447e-05,1.0593849288909138,1,4,timeout
async,17,0.3898231470002429,0.0,0.0,0.0,0,6,timeout
async,18,0.37233849199947144,2.4760000087553635e-05,2.4760000087553635e-05,1.0,1,5,timeout
async,19,0.3519440690006377,0.0,0.0,0.0,0,6,timeout
async,20,0.2835421910003788,0.0,0.0,0.0,0,6,timeout
async,21,0.27673880200018175,0.0,0.0,0.0,0,6,timeout
async,22,0.2746807789999366,0.0,0.0,0.0,0,6,timeout
async,23,0.3792044829997394,0.0,0.0,0.0,0,6,timeout
async,24,0.3070560239993938,0.0,0.0,0.0,0,6,timeout
async,25,0.3337847810007588,0.0,0.0,0.0,0,6,timeout
async,26,0.5168433040007585,2.2388999241229612e-05,2.2388999241229612e-05,1.0,0,5,timeout
async,27,0.2900213769999027,0.0,0.0,0.0,0,6,timeout
async,28,0.27915811799994117,2.0638000023609493e-05,2.0638000023609493e-05,1.0,1,5,timeout
async,29,0.2910375949995796,2.6601999707054347e-05,2.8343999474600423e-05,1.065483790193567,1,4,timeout
async,30,0.2708999189999304,0.0,0.0,0.0,0,6,timeout
async,31,0.2702928270000484,0.0,0.0,0.0,0,6,timeout
async,32,0.28656658999989304,0.0,0.0,0.0,0,6,timeout
async,33,0.2948517200002243,0.0,0.0,0.0,0,6,timeout
async,34,0.3701870310005688,0.0,0.0,0.0,0,6,timeout
async,35,0.40394379000008485,0.0,0.0,0.0,0,6,timeout
async,36,0.33073636300014186,0.0,0.0,0.0,0,6,timeout
async,37,0.38189413199961564,0.0,0.0,0.0,0,6,timeout
async,38,0.35350201000073866,0.0,0.0,0.0,0,6,timeout
async,39,0.608590834000097,0.0,0.0,0.0,0,6,timeout
async,40,0.4112894680001773,0.0,0.0,0.0,0,6,timeout
async,41,0.7358225400002993,0.0,0.0,0.0,0,6,timeout
async,42,0.447335034000389,2.2917999558558222e-05,2.2917999558558222e-05,1.0,0,5,timeout
async,43,0.30052566199992725,0.0,0.0,0.0,0,6,timeout
async,44,0.31202704699990136,0.0,0.0,0.0,0,6,timeout
async,45,0.3083805870001015,2.4095999833662063e-05,2.4095999833662063e-05,1.0,0,5,timeout
async,46,0.2967742270002418,0.0,0.0,0.0,0,6,timeout
async,47,0.2629893160001302,0.0,0.0,0.0,0,6,timeout
