mode,tick_id,tick_latency_s,mean_zone_latency_s,max_zone_latency_s,max_mean_latency_ratio,completed_before_finalize,fallback_count,policy_reason
blocking,0,18.725188546000027,0.10026596833343622,0.301216855000348,3.004178386814618,6,0,all_results_returned
blocking,1,0.4022110389996669,0.25041709899990866,0.30121272899941687,1.2028440957201838,6,0,all_results_returned
blocking,2,0.4294149990000733,0.10006652166657659,0.3001248640002814,2.999253486598672,6,0,all_results_returned
blocking,3,0.05123012900003232,2.9934999929537298e-05,4.424300004757242e-05,1.4779689377556073,6,0,all_results_returned
blocking,4,0.351298556999609,0.05123028350014162,0.3072254950002389,5.996950905012845,6,0,all_results_returned
blocking,5,0.3807049110000662,0.1551394188333385,0.3256808159994762,2.0992783036614635,6,0,all_results_returned
blocking,6,0.4018195749995357,0.10006802433326811,0.30018420799933665,2.9998014850338053,6,0,all_results_returned
blocking,7,0.3964162230004149,0.05004075200001049,0.3000886459994945,5.996885218660014,6,0,all_results_returned
blocking,8,0.06486573399979534,3.058349996839146e-05,3.723899953911314e-05,1.2176173288734202,6,0,all_results_returned
blocking,9,0.367423959000007,0.15007881883335963,0.30014106200087554,1.9998895535960866,6,0,all_results_returned
blocking,10,0.3522572109995963,0.10005447216675141,0.30010844400021597,2.99945057428371,6,0,all_results_returned
blocking,11,0.3303000460000476,0.05004390483297053,0.3001245989999006,5.997225836025667,6,0,all_results_returned
blocking,12,0.33392966500014154,0.10006092883319677,0.3001579629999469,2.9997519161581563,6,0,all_results_returned
blocking,13,0.34192873000029067,0.10018153799986369,0.3001138350000474,2.995700016109313,6,0,all_results_returned
blocking,14,0.34781084600035683,0.20029027800016289,0.3012647420000576,1.5041406153513481,6,0,all_results_returned
blocking,15,0.05873525600054563,3.0215833248803392e-05,3.586300044844393e-05,1.1868943064763628,6,0,all_results_returned
blocking,16,0.34535623400006443,0.10006361583312658,0.300156682999841,2.999658572206748,6,0,all_results_returned
blocking,17,0.3711082300005728,0.1000618763332568,0.3001239519999217,2.999383611400177,6,0,all_results_returned
blocking,18,0.32670904899987363,0.15006476200005636,0.30011083299996244,1.9998754471076277,6,0,all_results_returned
blocking,19,0.32681262099958985,0.20008959233352167,0.30016070999954536,1.5001315485675986,6,0,all_results_returned
blocking,20,0.3246282380005141,0.10006203483347538,0.3001621220000743,2.999760323679288,6,0,all_results_returned
blocking,21,0.3362297430003309,0.10020004916683926,0.30097173800004384,3.003708486199516,6,0,all_results_returned
blocking,22,0.328920105999714,0.0500314221667395,0.3001080109997929,5.998390571421781,6,0,all_results_returned
blocking,23,0.3487883289999445,0.050052387833299385,0.3001325730001554,5.996368724700083,6,0,all_results_returned
blocking,24,0.40230839400010154,0.10019454616667645,0.30084213800000725,3.002579975755845,6,0,all_results_returned
blocking,25,0.37899116900007357,0.0500868233334586,0.30035342300016055,5.996655467657117,6,0,all_results_returned
blocking,26,0.3629969000003257,0.10006832933322585,0.30018752700016194,2.9998255092332213,6,0,all_results_returned
blocking,27,0.6666497340002024,0.15008062516668966,0.30013995499939483,1.999858107374214,6,0,all_results_returned
blocking,28,0.6464706670003579,0.20021527949999532,0.3008503130004101,1.5026341333775035,6,0,all_results_returned
blocking,29,0.3781632009995519,0.05056241300023127,0.3032702139998946,5.99793791484017,6,0,all_results_returned
blocking,30,0.35956078700019134,0.2012140878334018,0.30656127099973673,1.5235576907197408,6,0,all_results_returned
blocking,31,0.3546633730002213,0.15015438783332988,0.30060796499947173,2.001992544720998,6,0,all_results_returned
blocking,32,0.33141659800003254,0.15007194249983513,0.3001297419996263,1.9999057585328184,6,0,all_results_returned
blocking,33,0.3302510280000206,0.10006575000018832,0.30016372199952457,2.999664940291355,6,0,all_results_returned
blocking,34,0.3296638929996334,0.10008012949977758,0.3002656959997694,3.000252872378994,6,0,all_results_returned
blocking,35,0.02868851400035055,2.709566691313133e-05,3.4358999982941896e-05,1.2680625316622323,6,0,all_results_returned
blocking,36,0.330792637999366,0.10008251583334034,0.3002682329997697,3.0002066844500903,6,0,all_results_returned
blocking,37,0.34554631499941024,0.10005598316668814,0.30012544700002763,2.9995752128089537,6,0,all_results_returned
blocking,38,0.6237777840005947,0.15007195099997261,0.30012930300017615,1.999902719997496,6,0,all_results_returned
blocking,39,0.3615735659996062,0.10016113899973789,0.3006417569995392,3.0015808526331353,6,0,all_results_returned
blocking,40,0.32610927499990794,0.1000582055000147,0.300114671999836,2.999400903704913,6,0,all_results_returned
blocking,41,0.6251303339995502,0.20012621949990717,0.3003680159999931,1.5008928702624715,6,0,all_results_returned
blocking,42,0.34029027900032816,0.05014115500019519,0.3007167659998231,5.997404048603437,6,0,all_results_returned
blocking,43,0.06184205600038695,2.3418166771686327e-05,3.919600021617953e-05,1.6737433206586156,6,0,all_results_returned
blocking,44,0.33219289099997695,0.10027166266687952,0.30021221000060905,2.993988550862749,6,0,all_results_returned
blocking,45,0.6461212219992376,0.15007905200006158,0.3001512709997769,1.999954470658928,6,0,all_results_returned
blocking,46,0.3550972679995539,0.05019041499993667,0.3004813009993086,5.986826389056311,6,0,all_results_returned
blocking,47,0.35481250999964686,0.20048111633316998,0.3024420679994364,1.5085813244217097,6,0,all_results_returned
